                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.0063,                 1.9212,                0.91855,                 1.0356,                0.77388,                0.64773,                 0.7386,                0.54591,                0.77035,                0.62432,                0.71302,                 0.4743,                0.82483,                  1.627,                0.75613,                0.97421,               0.006634,               0.006634,               0.006634
                     37,                 1.0071,                 1.9241,                0.91558,                 1.0335,                0.77428,                0.64732,                0.73878,                0.54615,                0.77005,                0.62497,                0.71354,                0.47471,                0.82425,                 1.6264,                0.75529,                 0.9739,               0.006535,               0.006535,               0.006535
                     38,                 1.0031,                 1.9156,                0.91208,                 1.0325,                0.77413,                0.64807,                0.73892,                 0.5463,                0.77015,                0.62581,                0.71404,                0.47511,                0.82333,                 1.6254,                0.75507,                0.97332,               0.006436,               0.006436,               0.006436
                     39,                 1.0069,                 1.9236,                0.91274,                 1.0335,                0.77453,                0.64787,                0.73884,                0.54647,                0.76975,                0.62609,                0.71417,                0.47552,                0.82304,                 1.6246,                0.75466,                0.97311,               0.006337,               0.006337,               0.006337
                     40,                0.99628,                 1.8951,                 0.9033,                 1.0329,                 0.7771,                0.64637,                0.73877,                0.54671,                0.77057,                0.62588,                0.71394,                 0.4754,                0.82255,                 1.6236,                0.75423,                0.97283,               0.006238,               0.006238,               0.006238
                     41,                0.99381,                 1.8999,                0.90232,                 1.0281,                0.77905,                0.64593,                0.73903,                0.54698,                0.77045,                0.62619,                0.71423,                0.47575,                0.82207,                 1.6228,                0.75361,                0.97266,               0.006139,               0.006139,               0.006139
                     42,                0.99514,                 1.8987,                0.90339,                 1.0302,                 0.7785,                0.64607,                0.73903,                0.54719,                0.77223,                 0.6248,                0.71455,                0.47608,                0.82169,                 1.6221,                0.75263,                0.97256,                0.00604,                0.00604,                0.00604
                     43,                0.99478,                 1.8965,                0.90069,                 1.0287,                0.77952,                0.64545,                0.73935,                0.54745,                0.77345,                0.62419,                 0.7146,                0.47608,                0.82138,                 1.6215,                0.75193,                0.97252,               0.005941,               0.005941,               0.005941
                     44,                0.99092,                 1.8913,                0.90053,                 1.0291,                0.77789,                0.64695,                0.73984,                 0.5476,                0.77541,                0.62337,                0.71484,                0.47636,                0.82108,                 1.6206,                0.75143,                0.97227,               0.005842,               0.005842,               0.005842
                     45,                0.99287,                 1.8947,                0.90247,                 1.0244,                 0.7782,                0.64615,                0.74025,                0.54797,                 0.7764,                0.62374,                0.71491,                0.47654,                0.82045,                 1.6192,                0.75094,                 0.9721,               0.005743,               0.005743,               0.005743
                     46,                0.99048,                 1.8917,                0.89691,                 1.0263,                0.77723,                 0.6463,                0.74038,                0.54816,                0.77693,                0.62412,                0.71559,                 0.4769,                0.82016,                 1.6188,                0.75037,                0.97196,               0.005644,               0.005644,               0.005644
                     47,                0.98646,                 1.8907,                0.89846,                 1.0277,                0.77581,                0.64729,                0.74054,                0.54833,                0.77581,                0.62459,                 0.7156,                0.47694,                0.81987,                 1.6178,                0.74972,                 0.9718,               0.005545,               0.005545,               0.005545
                     48,                0.98508,                 1.8785,                0.89365,                  1.025,                0.77701,                0.64756,                 0.7407,                0.54857,                0.77504,                0.62497,                0.71567,                0.47691,                0.81918,                 1.6165,                0.74866,                0.97138,               0.005446,               0.005446,               0.005446
                     49,                0.98727,                 1.8837,                0.89095,                 1.0261,                0.77896,                0.64712,                0.74105,                0.54889,                  0.777,                0.62499,                0.71603,                0.47712,                0.81863,                 1.6156,                 0.7481,                0.97083,               0.005347,               0.005347,               0.005347
                     50,                0.97837,                  1.875,                 0.8873,                 1.0222,                0.78019,                0.64664,                0.74128,                0.54924,                0.77806,                0.62429,                0.71648,                0.47752,                0.81791,                 1.6148,                0.74737,                 0.9705,               0.005248,               0.005248,               0.005248
                     51,                0.97423,                  1.862,                0.88469,                 1.0214,                0.78176,                 0.6459,                0.74167,                 0.5495,                0.77857,                0.62327,                0.71671,                0.47771,                0.81744,                 1.6139,                0.74676,                0.97027,               0.005149,               0.005149,               0.005149
                     52,                0.98117,                  1.875,                0.88765,                 1.0213,                0.78106,                0.64658,                0.74201,                0.54984,                0.77646,                 0.6251,                0.71682,                0.47777,                0.81692,                 1.6131,                0.74602,                0.96986,                0.00505,                0.00505,                0.00505
                     53,                0.97304,                 1.8642,                0.87789,                 1.0202,                 0.7823,                0.64705,                0.74253,                0.55017,                 0.7774,                0.62454,                0.71721,                0.47803,                0.81607,                 1.6119,                0.74535,                0.96938,               0.004951,               0.004951,               0.004951
                     54,                0.97425,                 1.8642,                0.88244,                  1.019,                0.78191,                0.64759,                0.74277,                0.55071,                0.77594,                0.62554,                0.71732,                0.47836,                0.81562,                 1.6111,                0.74459,                0.96909,               0.004852,               0.004852,               0.004852
                     55,                0.97294,                  1.867,                0.88032,                 1.0205,                 0.7841,                0.64664,                0.74299,                 0.5509,                0.77915,                0.62483,                 0.7176,                0.47839,                0.81515,                 1.6102,                0.74397,                0.96876,               0.004753,               0.004753,               0.004753
                     56,                0.97291,                 1.8665,                0.88269,                 1.0217,                0.78393,                0.64736,                0.74354,                0.55149,                0.78071,                0.62473,                0.71786,                0.47865,                0.81462,                 1.6096,                0.74351,                0.96838,               0.004654,               0.004654,               0.004654
                     57,                0.96863,                 1.8539,                0.87691,                 1.0188,                0.78492,                0.64749,                0.74371,                0.55188,                0.77975,                0.62542,                0.71817,                 0.4789,                0.81436,                 1.6088,                0.74301,                0.96819,               0.004555,               0.004555,               0.004555
                     58,                0.97323,                  1.868,                0.87907,                 1.0195,                0.78408,                0.64807,                0.74409,                0.55226,                0.78215,                0.62449,                0.71822,                0.47895,                0.81389,                 1.6081,                0.74262,                0.96781,               0.004456,               0.004456,               0.004456
                     59,                0.96961,                 1.8566,                0.87336,                 1.0165,                0.78601,                0.64718,                0.74411,                0.55249,                0.78059,                0.62596,                0.71824,                0.47924,                0.81333,                 1.6077,                0.74215,                0.96747,               0.004357,               0.004357,               0.004357
                     60,                0.96684,                   1.85,                0.87002,                 1.0159,                0.78654,                0.64696,                0.74431,                  0.553,                0.78139,                0.62538,                0.71859,                0.47958,                0.81289,                  1.607,                0.74135,                0.96718,               0.004258,               0.004258,               0.004258
                     61,                0.96287,                 1.8458,                0.86797,                 1.0148,                0.78642,                0.64762,                0.74463,                0.55317,                0.78173,                0.62575,                0.71876,                0.47973,                0.81226,                 1.6067,                0.74111,                0.96675,               0.004159,               0.004159,               0.004159
                     62,                0.96972,                  1.858,                0.87075,                 1.0149,                0.78831,                0.64617,                0.74478,                0.55341,                0.78116,                0.62687,                0.71917,                 0.4801,                0.81192,                 1.6062,                0.74026,                0.96655,                0.00406,                0.00406,                0.00406
                     63,                0.95409,                 1.8285,                0.85901,                 1.0124,                0.78728,                0.64794,                0.74501,                0.55383,                0.77965,                0.62771,                0.71909,                0.48024,                0.81116,                 1.6062,                0.73992,                 0.9662,               0.003961,               0.003961,               0.003961
                     64,                0.95535,                 1.8317,                0.85832,                 1.0117,                0.78831,                0.64765,                0.74511,                0.55414,                0.77832,                0.62814,                0.71944,                0.48037,                0.81074,                 1.6058,                0.73945,                0.96579,               0.003862,               0.003862,               0.003862
                     65,                 0.9626,                 1.8447,                0.86279,                 1.0118,                0.78971,                0.64627,                 0.7451,                0.55436,                0.77878,                0.62832,                0.71958,                0.48058,                0.80984,                  1.605,                0.73903,                0.96526,               0.003763,               0.003763,               0.003763
                     66,                0.95327,                 1.8275,                0.85728,                 1.0087,                0.78953,                 0.6464,                0.74555,                0.55467,                0.78084,                0.62664,                 0.7195,                0.48052,                0.80913,                 1.6048,                0.73887,                 0.9647,               0.003664,               0.003664,               0.003664
                     67,                0.95366,                 1.8295,                0.85841,                 1.0104,                0.78864,                0.64773,                0.74565,                0.55514,                 0.7803,                0.62734,                0.72016,                 0.4808,                0.80845,                 1.6043,                0.73846,                0.96428,               0.003565,               0.003565,               0.003565
                     68,                0.95594,                 1.8291,                0.85696,                 1.0095,                0.78806,                0.64834,                0.74578,                0.55534,                0.78317,                0.62581,                0.72005,                0.48084,                0.80851,                 1.6042,                0.73849,                0.96409,               0.003466,               0.003466,               0.003466
                     69,                0.94514,                 1.8165,                0.85199,                 1.0056,                 0.7907,                0.64688,                 0.7459,                0.55558,                0.78466,                0.62557,                0.72058,                0.48136,                0.80808,                 1.6036,                0.73817,                0.96373,               0.003367,               0.003367,               0.003367
                     70,                0.94683,                 1.8133,                 0.8455,                 1.0051,                0.78916,                0.64746,                0.74598,                0.55602,                  0.784,                0.62558,                0.72054,                0.48167,                0.80759,                  1.603,                0.73781,                0.96348,               0.003268,               0.003268,               0.003268
                     71,                0.94314,                 1.8105,                0.84758,                 1.0051,                0.78987,                0.64763,                0.74608,                0.55628,                0.78422,                0.62524,                0.72052,                0.48179,                0.80703,                 1.6025,                0.73767,                0.96321,               0.003169,               0.003169,               0.003169
                     72,                 0.9406,                 1.8063,                0.84375,                 1.0039,                0.79052,                 0.6476,                0.74631,                 0.5564,                0.78559,                0.62449,                0.72049,                0.48191,                0.80693,                 1.6029,                0.73724,                0.96309,                0.00307,                0.00307,                0.00307
                     73,                  0.944,                 1.8089,                  0.843,                 1.0051,                0.79198,                0.64705,                0.74645,                0.55655,                 0.7867,                0.62402,                0.72066,                0.48202,                0.80662,                 1.6028,                0.73691,                0.96304,               0.002971,               0.002971,               0.002971
                     74,                0.93962,                 1.8063,                0.84031,                 1.0026,                0.79164,                  0.648,                 0.7467,                0.55683,                0.78612,                0.62487,                0.72114,                0.48216,                0.80607,                 1.6025,                0.73675,                0.96283,               0.002872,               0.002872,               0.002872
                     75,                0.92897,                 1.7946,                0.83475,                 1.0007,                0.79169,                0.64873,                0.74697,                 0.5571,                0.78665,                0.62476,                0.72149,                0.48258,                0.80532,                 1.6021,                0.73654,                0.96246,               0.002773,               0.002773,               0.002773
                     76,                0.94018,                 1.8081,                0.83921,                 1.0007,                0.79046,                0.64953,                0.74703,                0.55745,                0.78682,                0.62486,                0.72154,                0.48254,                0.80488,                  1.602,                0.73649,                0.96213,               0.002674,               0.002674,               0.002674
                     77,                0.93284,                  1.798,                0.83569,                0.99972,                0.79106,                0.64958,                0.74721,                0.55781,                0.78515,                0.62585,                0.72136,                0.48263,                0.80431,                 1.6018,                0.73624,                0.96165,               0.002575,               0.002575,               0.002575
                     78,                0.93059,                 1.7851,                0.83373,                 1.0001,                0.79258,                0.64908,                0.74751,                0.55794,                0.78483,                0.62667,                0.72198,                0.48284,                0.80359,                 1.6015,                0.73608,                0.96129,               0.002476,               0.002476,               0.002476
                     79,                0.92683,                  1.786,                0.82962,                0.99779,                0.79209,                0.64899,                0.74764,                0.55827,                0.78605,                0.62551,                0.72161,                 0.4831,                 0.8029,                 1.6013,                0.73572,                0.96082,               0.002377,               0.002377,               0.002377
                     80,                 0.9266,                 1.7832,                0.82736,                0.99746,                0.79266,                0.64878,                0.74758,                0.55859,                0.78614,                0.62619,                0.72165,                0.48313,                0.80248,                 1.6012,                0.73544,                0.96044,               0.002278,               0.002278,               0.002278
                     81,                0.92083,                 1.7709,                0.82232,                0.99716,                  0.794,                0.64786,                0.74769,                0.55885,                0.78634,                0.62619,                 0.7215,                0.48326,                0.80182,                 1.6011,                0.73524,                0.96007,               0.002179,               0.002179,               0.002179
                     82,                0.92579,                 1.7789,                0.81984,                0.99617,                0.79624,                 0.6463,                0.74784,                0.55914,                0.78789,                0.62549,                0.72205,                0.48321,                0.80099,                 1.6013,                0.73494,                0.95972,                0.00208,                0.00208,                0.00208
                     83,                0.92042,                 1.7681,                0.81959,                0.99553,                 0.7972,                0.64673,                0.74818,                0.55932,                0.78724,                 0.6258,                0.72203,                0.48359,                0.80075,                 1.6014,                0.73474,                0.95955,               0.001981,               0.001981,               0.001981
                     84,                0.91672,                 1.7641,                0.81529,                0.99253,                0.79818,                0.64569,                0.74832,                0.55953,                0.78718,                0.62623,                0.72194,                0.48374,                0.80046,                 1.6016,                0.73473,                0.95925,               0.001882,               0.001882,               0.001882
